Zipcode,Boroughs,Neighborhoods,Types,Acres,Total_Pop,Median_Age,Pop_Dens,Prc_Own,Prc_Rent,Latitude,Longitude
98101,"Downtown, East","CommCore, PikePine, DennyTriangle",Urban Center Village,550.0,13578,38.13333333333333,24.687272727272727,0.2174821735923285,0.7825178264076715,47.61067,-122.33438
98102,LakeUnion,Eastlake,Residential Urban Village,200.2,5084,37.0,25.394605394605396,0.281590763309814,0.718409236690186,47.63287,-122.32253
98103,"LakeUnion, Northwest","Wallingford, AuroraNorth, Fremont","Residential Urban Village, Hub Urban Village",798.6,15489,33.56666666666667,19.39519158527423,0.33574139831027305,0.664258601689727,47.671346,-122.34166
98104,"Downtown, East","MadisonMiller, FirstHill, PioneerSquare","Residential Urban Village, Urban Center Village",515.8,14999,39.833333333333336,29.07910042652191,0.16960527812535547,0.8303947218746445,47.60252,-122.32855
98105,Northeast,Admiral,Residential Urban Village,98.3,1528,42.3,15.544252288911496,0.2692307692307692,0.7307692307692307,47.66377,-122.30118
98106,Delridge,Westwood,Residential Urban Village,275.5,4606,36.8,16.718693284936478,0.4094650205761317,0.5905349794238683,47.53282,-122.35443
98107,Ballard,Ballard,"Hub Urban Village, Manufacturing Industrial",1359.8,11736,39.55,8.630680982497426,0.2897760754272245,0.7102239245727755,47.66747,-122.37468
98108,Duwamish,SouthPark,Residential Urban Village,263.4,3448,35.0,13.090356871678058,0.5008741258741258,0.4991258741258741,47.546188,-122.31514
98109,LakeUnion,S_LakeUnion,Urban Center,339.9,3774,39.1,11.103265666372463,0.12484749898332656,0.8751525010166734,47.630648,-122.34675
98115,"Northeast, Northwest","Ravenna, GreenLake, Roosevelt","Urban Center Village, Residential Urban Village",389.2,8611,31.3,22.12487153134635,0.2002247191011236,0.7997752808988764,47.68382,-122.30122
98117,"Ballard, Northwest","CrownHill, Grnwd_Phinney",Residential Urban Village,267.1,5386,37.95,20.164732309996253,0.4479279279279279,0.5520720720720721,47.685919,-122.37838
98118,"Southeast, Duwamish","Othello, ColumbiaCity",Residential Urban Village,687.5999999999999,11204,34.25,16.29435718440954,0.3127622809182918,0.6872377190817082,47.543348,-122.27496
98119,Downtown,Uptown,Urban Center,333.1,7300,34.5,21.91534073851696,0.22209165687426558,0.7779083431257344,47.63877,-122.36694
98121,Downtown,Belltown,Urban Center Village,219.9,11961,39.8,54.39290586630286,0.2353639710248189,0.7646360289751811,47.61487,-122.34578
98122,East,"IntDistrict, CapitolHill",Urban Center Village,568.7,21745,43.0,38.23632846843678,0.1716367102396514,0.8283632897603486,47.61157,-122.30406
98125,"North, Northwest","LakeCity, Northgate","Hub Urban Village, Urban Center",552.8,10268,35.55,18.57452966714906,0.1749829118250171,0.8250170881749829,47.716648,-122.30308
98126,Southwest,MorganJunc,Residential Urban Village,113.7,2046,37.4,17.994722955145118,0.3878424657534247,0.6121575342465754,47.54687,-122.3748
98133,Northwest,BitterLake,Hub Urban Village,358.7,4273,37.9,11.912461667131307,0.2247146792601338,0.7752853207398662,47.733852,-122.34461
98144,Duwamish,BeaconHill,Residential Urban Village,130.6,2900,38.9,22.2052067381317,0.26817826426896013,0.7318217357310399,47.58577,-122.30081
98146,Southwest,WestSeattle,Hub Urban Village,225.8,3788,42.9,16.775907883082372,0.32358003442340794,0.6764199655765921,47.501753,-122.35688
98177,Southeast,NorthRainier,Hub Urban Village,455.0,4908,39.7,10.786813186813188,0.34958556801560214,0.6504144319843979,47.740886,-122.36978
98178,Southeast,RainierBeach,Residential Urban Village,267.5,3583,35.2,13.394392523364486,0.2516904583020286,0.7483095416979715,47.497971,-122.24664
98188,Duwamish,Duwamish,Manufacturing Industrial,4961.2,1064,44.5,0.2144642425219705,0.1804733727810651,0.8195266272189349,47.450321,-122.27472
98195,Northeast,"UnivDistrict, UnivCampus",Urban Center Village,635.0,19381,27.85,30.521259842519687,0.060909538663602034,0.939090461336398,47.6511111,-122.311111
98199,QueenAnne,QueenAnne,Residential Urban Village,52.6,2143,39.4,40.74144486692015,0.24408901251738527,0.7559109874826148,47.64767,-122.39758
